GPS data from Augustine volcano, Ref: Table 1 from Cervelli et al (2006)
Input data file: Augustine2006.txt
iLoops: 2

Estimated errors (2 sigma)
X0,Y0 : location [UTM]
Z0    : depth [m b.s.l.]
dP    : dimensionless pressure change
dV    : volume change (1E6 m^3 or m^3/yr)
A     : aspect ratio (semi-minor/semi-major axis)
phi   : strike angle (deg, positive from N)
theta : dip angle (deg, 90 = vertical)

X0    : 6102 [UTM]
Y0    : 5282 [UTM]
Z0    : 569 [m]  
dP    : 0.695      
dV    : 1.52 [m^3 or m^3/yr]
A     : 0.61
phi   : 202
theta : 57

X2v X0 Y0 Z0 dP dV A PHI THETA
15.23   480366  6585590  1690 0.028   1.06 0.87 244  84
2.25   475632  6580393  1100 0.028   0.72 0.70 358  16
13.49   474954  6578287  1578 0.092   0.53 0.32 324  90
15.46   478876  6575948  1342 0.056   0.31 0.31 206  38
15.51   471040  6579708  1839 0.931   0.00 0.00 235  16
11.98   478498  6581454  1458 0.125   1.40 0.45 156  88
13.39   475037  6578372  1489 0.294   0.43 0.15 213  90
12.91   478548  6577755  2000 0.992   1.68 0.17   0  90
15.51   472109  6585494  1131 0.365   0.00 0.00 256  30
15.50   470530  6580469  1406 0.947   0.26 0.07 268  22
15.51   475935  6576067  1432 0.455   0.00 0.00 308  14
10.15   476113  6579112  1999 0.243   1.50 0.33  98  90
13.51   477354  6576846  1930 0.876   2.15 0.20 104  47
15.43   471749  6577625  1619 0.788   0.49 0.10 223  28
9.03   476159  6581147  1948 0.890   1.51 0.17  12  90
15.51   471833  6584126  1329 0.169   0.00 0.00 283  68
14.73   479457  6576504  1870 0.026   1.25 0.99 195   2
12.46   479951  6581335  1869 0.647   2.50 0.25 222  88
15.51   470555  6582329  1428 0.337   0.00 0.00  74  66
15.51   472186  6582180  1616 0.372   0.00 0.00 266  65
2.48   475609  6580393  1100 0.016   0.75 0.99 110  44
15.51   470632  6575856  1512 0.346   0.00 0.00 109  74
