GPS data from Augustine volcano, Ref: Table 1 from Cervelli et al (2006)
Input data file: Augustine2006.txt
nLoops: 64

Inversion parameters
X2v   : chi square
X0,Y0 : location [UTM]
Z0    : depth [m b.s.l.]
dP    : dimensionless pressure change
dV    : volume change (1E6 m^3 or m^3/yr)
A     : aspect ratio (semi-minor/semi-major axis)
phi   : strike angle (deg, positive from N)
theta : dip angle (deg, 90 = vertical)

X2v X0 Y0 Z0 dP dV A phi theta
15.24   478120  6585428  1259 0.993   1.45 0.15  28  24
15.47   477080  6585582  1972 0.416   0.23 0.09 175  87
15.51   470990  6584176  1915 0.342   0.00 0.00 128  16
10.04   477341  6579343  2000 0.030   1.46 1.00  93  90
14.22   479849  6582216  1393 0.493   1.29 0.21 148  90
13.54   476964  6582155  1265 0.062   0.60 0.42 262  89
14.79   480364  6576273  1712 0.032   1.55 0.99 180  11
14.51   479937  6576759  1634 0.219   1.41 0.33 203  84
15.05   478725  6584772  2000 0.996   1.03 0.13  37  89
13.84   480206  6577515  1834 0.782   1.88 0.20  22  76
15.51   471534  6583031  1529 0.311   0.00 0.00 203  21
13.74   477677  6576690  1869 0.993   2.06 0.18  98  47
15.51   472486  6578395  1241 0.045   0.00 0.01  50   8
15.51   471169  6585491  1238 0.451   0.00 0.00  50  30
15.51   474379  6575645  1955 0.343   0.00 0.00 304  29
15.51   470845  6578248  1337 0.360   0.00 0.00  75  22
15.51   473599  6576483  1236 0.336   0.00 0.00  65  33
15.51   471210  6575695  1316 0.336   0.00 0.00 340  81
14.98   474244  6577646  1464 0.263   0.31 0.14 344  89
12.50   476394  6582233  1754 0.975   1.07 0.13 197  90
12.04   479671  6580790  1733 0.714   2.23 0.23 221  90
14.89   476284  6576776  1902 0.025   0.54 0.64 157  90
15.51   470660  6579779  1524 0.225   0.00 0.00  81  16
15.52   471807  6575681  1493 0.074   0.02 0.07  71  39
11.85   474427  6580583  1972 0.869   1.36 0.16 193  90
8.87   477120  6580446  1620 0.507   1.43 0.22 197  88
14.14   475641  6577098  1609 0.994   0.97 0.12 159  90
12.91   478548  6577755  2000 0.992   1.68 0.17   0  90
15.46   473984  6582694  1236 0.695   0.08 0.04 169  89
10.59   477971  6580858  2000 0.038   1.89 1.00   5  90
15.51   471283  6585205  1551 0.299   0.00 0.00 223  24
15.50   478276  6575597  1166 0.464   0.08 0.05 296  90
14.04   479653  6577249  1766 0.555   1.30 0.20 260  89
15.51   477367  6575941  1489 0.300   0.00 0.01  38  15
15.51   474097  6575676  1542 0.493   0.00 0.00  55  22
13.34   477388  6577883  1323 0.208   0.59 0.22 129  90
15.50   472963  6582229  1704 0.057   0.04 0.10  55  89
15.51   471233  6584726  1234 0.329   0.00 0.00 108   8
15.30   473031  6579966  1968 0.965   0.44 0.08 144  90
15.51   470413  6579170  1534 0.417   0.00 0.00 137  62
15.57   477048  6576068  1361 0.026   0.07 0.21 351  74
13.50   480162  6579012  1627 0.788   1.54 0.18 291  83
15.51   470988  6582191  1121 0.348   0.00 0.00  65  15
15.51   474317  6575776  1640 0.675   0.13 0.05 222  39
15.51   472138  6577359  1396 0.019   0.01 0.09 221  73
15.47   477746  6585556  1580 0.006   0.25 0.89 283  82
6.72   476371  6580076  1611 0.024   1.18 1.00  12  90
3.47   475280  6580421  1100 0.013   0.66 1.00  22  90
15.49   477377  6585459  1417 0.664   0.13 0.06 233  89
15.49   471608  6584695  1972 0.841   0.40 0.09 306  22
15.51   473242  6583538  1525 0.362   0.00 0.00 171  60
15.51   470604  6577460  1645 0.371   0.00 0.00 287  68
15.51   470369  6581587  1270 0.162   0.00 0.01 246  52
15.51   470433  6584389  1313 0.334   0.00 0.00 165  41
15.51   472283  6581965  1624 0.299   0.00 0.00 114  22
15.51   472763  6585128  1672 0.223   0.00 0.00 241  37
9.03   476159  6581147  1948 0.890   1.51 0.17  12  90
15.49   470900  6578423  1505 0.497   0.31 0.10 244  16
15.07   480330  6585553  1273 0.897   2.34 0.21 202   0
15.51   475545  6585022  1537 0.353   0.00 0.00 186  24
15.51   472325  6576806  1627 0.372   0.00 0.00  98  30
15.51   474665  6585090  1423 0.332   0.00 0.00 253  64
15.51   474302  6576263  1398 0.382   0.00 0.00 296  18
15.51   473878  6584867  1454 0.335   0.00 0.00 275  31
